id	family	order
FBti0018861	17.6	ltr
FBti0018862	17.6	ltr
FBti0018865	297	ltr
FBti0018866	297	ltr
FBti0018867	297	ltr
FBti0018868	297	ltr
FBti0018869	3s18	ltr
FBti0018871	412	ltr
FBti0018872	412	ltr
FBti0018873	412	ltr
FBti0018874	412	ltr
FBti0018875	bs	non-ltr
FBti0018876	bs	non-ltr
FBti0018877	bs	non-ltr
FBti0018878	bs	non-ltr
FBti0018879	bs	non-ltr
FBti0018880	bari1	tir
FBti0018881	burdock	ltr
FBti0018882	burdock	ltr
FBti0018883	burdock	ltr
FBti0018884	burdock	ltr
FBti0018885	circe	ltr
FBti0018886	circe	ltr
FBti0018887	cr1a	non-ltr
FBti0018888	cr1a	non-ltr
FBti0018889	cr1a	non-ltr
FBti0018890	cr1a	non-ltr
FBti0018891	cr1a	non-ltr
FBti0018892	cr1a	non-ltr
FBti0018893	cr1a	non-ltr
FBti0018894	cr1a	non-ltr
FBti0018896	cr1a	non-ltr
FBti0018897	cr1a	non-ltr
FBti0018898	cr1a	non-ltr
FBti0018899	dm88	ltr
FBti0018900	dm88	ltr
FBti0018901	doc	non-ltr
FBti0018902	doc	non-ltr
FBti0018903	doc	non-ltr
FBti0018904	doc	non-ltr
FBti0018905	doc	non-ltr
FBti0018906	doc2-element	non-ltr
FBti0018907	doc3-element	non-ltr
FBti0018908	doc3-element	non-ltr
FBti0018909	doc3-element	non-ltr
FBti0018911	f	non-ltr
FBti0018912	f	non-ltr
FBti0018913	f	non-ltr
FBti0018914	f	non-ltr
FBti0018915	f	non-ltr
FBti0018916	f	non-ltr
FBti0018917	f	non-ltr
FBti0018918	g2	non-ltr
FBti0018919	g3	non-ltr
FBti0018920	g3	non-ltr
FBti0018921	hms-beagle	ltr
FBti0018923	i	non-ltr
FBti0018924	i	non-ltr
FBti0018925	i	non-ltr
FBti0018926	i	non-ltr
FBti0018927	juan	non-ltr
FBti0018929	rt1b	non-ltr
FBti0018930	rt1b	non-ltr
FBti0018931	rt1b	non-ltr
FBti0018932	rt1b	non-ltr
FBti0018933	rt1b	non-ltr
FBti0018936	rt1b	non-ltr
FBti0018937	rt1b	non-ltr
FBti0018938	rt1c	non-ltr
FBti0018939	rt1c	non-ltr
FBti0018940	s2	tir
FBti0018942	tc1	tir
FBti0018943	tc1	tir
FBti0018944	tc1	tir
FBti0018945	tc1	tir
FBti0018946	tirant	ltr
FBti0018947	tirant	ltr
FBti0018948	tirant	ltr
FBti0018949	x	non-ltr
FBti0018950	x	non-ltr
FBti0018951	accord	ltr
FBti0018952	ninja-dsim-like	ltr
FBti0018953	ninja-dsim-like	ltr
FBti0018954	baggins	non-ltr
FBti0018955	baggins	non-ltr
FBti0018956	baggins	non-ltr
FBti0018957	baggins	non-ltr
FBti0018958	flea	ltr
FBti0018959	flea	ltr
FBti0018960	flea	ltr
FBti0018961	flea	ltr
FBti0018962	flea	ltr
FBti0018963	flea	ltr
FBti0018964	flea	ltr
FBti0018965	blood	ltr
FBti0018966	blood	ltr
FBti0018967	copia	ltr
FBti0018968	copia	ltr
FBti0018969	copia	ltr
FBti0018970	copia	ltr
FBti0018971	diver	ltr
FBti0018972	diver	ltr
FBti0018973	diver	ltr
FBti0018977	invader1	ltr
FBti0018978	invader1	ltr
FBti0018979	invader1	ltr
FBti0018980	invader1	ltr
FBti0018981	invader2	ltr
FBti0018982	invader2	ltr
FBti0018983	invader2	ltr
FBti0018984	invader3	ltr
FBti0018985	jockey	non-ltr
FBti0018986	jockey	non-ltr
FBti0018987	jockey	non-ltr
FBti0018988	jockey	non-ltr
FBti0018989	jockey	non-ltr
FBti0018990	jockey	non-ltr
FBti0018991	jockey	non-ltr
FBti0018992	jockey	non-ltr
FBti0018993	jockey	non-ltr
FBti0018994	jockey	non-ltr
FBti0018995	jockey	non-ltr
FBti0018996	jockey	non-ltr
FBti0018997	jockey	non-ltr
FBti0018998	mariner2	tir
FBti0018999	mariner2	tir
FBti0019000	mdg1	ltr
FBti0019001	mdg1	ltr
FBti0019002	mdg1	ltr
FBti0019003	rt1a	non-ltr
FBti0019004	rt1a	non-ltr
FBti0019005	rt1a	non-ltr
FBti0019006	rt1a	non-ltr
FBti0019007	rt1a	non-ltr
FBti0019008	rt1a	non-ltr
FBti0019009	pogo	tir
FBti0019010	pogo	tir
FBti0019011	pogo	tir
FBti0019012	pogo	tir
FBti0019013	pogo	tir
FBti0019015	roo	ltr
FBti0019016	roo	ltr
FBti0019017	roo	ltr
FBti0019018	roo	ltr
FBti0019019	roo	ltr
FBti0019020	roo	ltr
FBti0019021	roo	ltr
FBti0019022	roo	ltr
FBti0019025	roo	ltr
FBti0019026	roo	ltr
FBti0019027	roo	ltr
FBti0019028	roo	ltr
FBti0019029	roo	ltr
FBti0019030	roo	ltr
FBti0019031	roo	ltr
FBti0019032	springer	ltr
FBti0019035	transib2	tir
FBti0019036	transib2	tir
FBti0019037	transib3	tir
FBti0019038	transib4	tir
FBti0019039	transib4	tir
FBti0019040	opus	ltr
FBti0019041	opus	ltr
FBti0019042	opus	ltr
FBti0019043	opus	ltr
FBti0019044	opus	ltr
FBti0019267	s	tir
FBti0019269	doc3	non-ltr
FBti0019270	gypsy11	ltr
FBti0019271	s	tir
FBti0019272	s	tir
FBti0019273	s	tir
FBti0019274	s	tir
FBti0019275	1360	tir
FBti0019276	s	tir
FBti0019277	s	tir
FBti0019278	roo	ltr
FBti0019279	1360	tir
FBti0019280	f	non-ltr
FBti0019883	r1-element	non-ltr
FBti0019884	r1-element	non-ltr
FBti0019886	cr1a	non-ltr
FBti0019888	helena	non-ltr
FBti0019889	rt1b	non-ltr
FBti0019890	rt1b	non-ltr
FBti0019891	rt1b	non-ltr
FBti0019893	rt1b	non-ltr
FBti0019896	1360	tir
FBti0019898	gypsy	ltr
FBti0019900	accord2	ltr
FBti0019901	hopper	tir
FBti0019902	1360	tir
FBti0019903	fb	foldback
FBti0019904	hopper	tir
FBti0019905	1360	tir
FBti0019906	springer	ltr
FBti0019907	doc3	non-ltr
FBti0019908	doc3-element	non-ltr
FBti0019910	gate	ltr
FBti0019914	opus	ltr
FBti0019915	stalker2	ltr
FBti0019916	1360	tir
FBti0019917	1360	tir
FBti0019918	hb	tir
FBti0019919	hb	tir
FBti0019920	1360	tir
FBti0019922	1360	tir
FBti0019924	baggins	non-ltr
FBti0019926	baggins	non-ltr
FBti0019927	baggins	non-ltr
FBti0019928	baggins	non-ltr
FBti0019929	baggins	non-ltr
FBti0019931	springer	ltr
FBti0019932	springer	ltr
FBti0019935	diver2	ltr
FBti0019937	1360	tir
FBti0019939	1360	tir
FBti0019940	hb	tir
FBti0019946	rover	ltr
FBti0019949	gate	ltr
FBti0019951	gate	ltr
FBti0019954	nof	tir
FBti0019957	bs	non-ltr
FBti0019963	gate	ltr
FBti0019966	s	tir
FBti0019967	rt1b	non-ltr
FBti0019968	s	tir
FBti0019969	1360	tir
FBti0019972	invader3	ltr
FBti0019973	hb	tir
FBti0019974	hopper	tir
FBti0019975	297	ltr
FBti0019976	fb	foldback
FBti0019977	297	ltr
FBti0019978	1360	tir
FBti0019984	s	tir
FBti0019985	roo	ltr
FBti0019987	mdg1	ltr
FBti0019992	1360	tir
FBti0019993	1360	tir
FBti0019994	stalker4	ltr
FBti0019996	roo	ltr
FBti0019998	hb	tir
FBti0020003	hb	tir
FBti0059637	412	ltr
FBti0059645	rooa	ltr
FBti0059659	roo	ltr
FBti0059660	nof	tir
FBti0059661	ine-1	helitron
FBti0059662	roo	ltr
FBti0059663	roo	ltr
FBti0059675	baggins	non-ltr
FBti0059676	baggins	non-ltr
FBti0059684	s	tir
